node,pagerank,hub,authority,degree,strength,community,modularity_Q_global
🤞,0.0014967972042558924,0.001018520355513731,0.0010185203555137315,24,3484.0,1,0.28561846043186595
🥪,0.0014913420442354967,0.00010560450137159126,0.00010560450137159145,16,2000.0,1,0.28561846043186595
♾,0.00149027934453641,0.0005989933510496509,0.0005989933510496513,20,2602.0,1,0.28561846043186595
👟,0.0014825297631010119,0.00010408436896525092,0.00010408436896525139,16,1979.0,1,0.28561846043186595
👊,0.001480279448029045,0.0008894577124505656,0.0008894577124505662,21,3405.0,1,0.28561846043186595
🪪,0.001476569708378442,0.0001025676096784517,0.00010256760967845216,16,1962.0,1,0.28561846043186595
🌏,0.0014740328742428018,9.614910666152045e-05,9.614910666152063e-05,11,1072.0,3,0.28561846043186595
🤮,0.001455966292174355,0.00012721722651716047,0.000127217226517161,10,2401.0,4,0.28561846043186595
🐦,0.0014509196430430012,2.7153913103520518e-05,2.7153913103519684e-05,10,977.0,3,0.28561846043186595
💅,0.0014437583808826673,0.0004848635412948193,0.0004848635412948213,20,2446.0,1,0.28561846043186595
👸,0.0014402101704335123,0.0004795051069034564,0.0004795051069034564,20,2409.0,1,0.28561846043186595
🩷,0.001439492431975525,0.0021032067467294945,0.0021032067467294953,21,3321.0,5,0.28561846043186595
🙊,0.0014353444975155586,4.56702793844203e-06,4.567027938441864e-06,7,806.0,2,0.28561846043186595
🤤,0.001434753951362189,0.0007167591798947359,0.0007167591798947372,12,2985.0,5,0.28561846043186595
💔,0.001432478161297452,0.0006605790855869321,0.0006605790855869341,14,2797.0,4,0.28561846043186595
👅,0.001428601253690149,0.0004800764934598493,0.00048007649345984993,18,2273.0,5,0.28561846043186595
🍾,0.0014224190534506478,0.0008553219987783606,0.0008553219987783596,13,3102.0,0,0.28561846043186595
👶,0.0014117945734939713,0.00044992871434757956,0.00044992871434757967,20,2312.0,1,0.28561846043186595
📀,0.0014026652702260885,2.2945162724917157e-05,2.2945162724917554e-05,10,904.0,3,0.28561846043186595
⭐,0.0013876911200552413,0.0008388179474358318,0.0008388179474358323,18,2185.0,2,0.28561846043186595
🦾,0.0013869065765795838,0.00042007717146170414,0.0004200771714617039,20,2231.0,1,0.28561846043186595
📡,0.001385462963005501,2.343442805289725e-05,2.343442805289419e-05,10,895.0,3,0.28561846043186595
🐶,0.0013800510407410704,0.0021988923797913625,0.0021988923797913625,18,3219.0,6,0.28561846043186595
🧬,0.0013688726437214777,0.0003880464105808416,0.0003880464105808449,20,2162.0,1,0.28561846043186595
🔑,0.0013688018287250168,0.0003849892712645654,0.00038498927126456433,20,2158.0,1,0.28561846043186595
🔰,0.0013574749783270277,2.313515925321901e-05,2.3135159253219168e-05,10,868.0,3,0.28561846043186595
⛲,0.001353158164909055,0.00037024735626588163,0.00037024735626588174,20,2105.0,1,0.28561846043186595
😏,0.0013255442215964809,0.0005810303096989713,0.0005810303096989741,20,2718.0,4,0.28561846043186595
💸,0.0013075778708644995,0.0002849418147539504,0.00028494181475395076,10,2066.0,0,0.28561846043186595
🌿,0.001296045884656686,0.001719041295960167,0.001719041295960166,19,2774.0,6,0.28561846043186595
💃,0.001292227802783351,0.0008977880772897845,0.0008977880772897849,18,2710.0,0,0.28561846043186595
😢,0.001288961092337859,0.0003423006030589008,0.0003423006030589014,13,1893.0,4,0.28561846043186595
😒,0.0012857954874554629,0.00022941563024935898,0.00022941563024935906,15,1830.0,5,0.28561846043186595
😰,0.0012653077660543673,6.85977607891254e-05,6.859776078912498e-05,7,1535.0,4,0.28561846043186595
🩵,0.00125797252658606,0.0012735646541071335,0.0012735646541071324,17,2440.0,5,0.28561846043186595
🥕,0.001204355524158979,0.0025645775815434754,0.0025645775815434746,11,2625.0,6,0.28561846043186595
🤘,0.001203129142434446,0.0011719181813548837,0.0011719181813548841,15,2418.0,1,0.28561846043186595
🚨,0.001174479746586197,0.00046061846320110924,0.0004606184632011074,12,2065.0,0,0.28561846043186595
😫,0.0011736805407238679,0.00034541988547437196,0.00034541988547437136,15,1997.0,4,0.28561846043186595
❣,0.001161175075007178,0.0013964293452709334,0.001396429345270933,19,2323.0,5,0.28561846043186595
🧺,0.0011451057150085433,0.0025353423277788873,0.0025353423277788864,7,2408.0,6,0.28561846043186595
🙃,0.0011382668334189304,0.0002988292926097377,0.00029882929260973795,14,1972.0,4,0.28561846043186595
🛰,0.001134362503615055,0.00015622342673769324,0.00015622342673769318,7,1796.0,0,0.28561846043186595
😛,0.0011255830965024457,0.0004654171636284482,0.00046541716362844834,13,1767.0,5,0.28561846043186595
🤑,0.0011245476497080261,0.00032415364141668185,0.0003241536414166826,11,1789.0,0,0.28561846043186595
🏿,0.0011123316121885067,0.0004969645791073982,0.0004969645791073986,16,1974.0,1,0.28561846043186595
🍬,0.0011058305214422623,0.0014360433560256316,0.001436043356025634,9,1815.0,6,0.28561846043186595
🫣,0.0010960469737424593,0.00032320476744181594,0.00032320476744181594,15,1764.0,4,0.28561846043186595
😔,0.0010753535682413147,0.0003751915579324157,0.0003751915579324157,11,1625.0,4,0.28561846043186595
🤐,0.0010723243072473026,0.0002470616917528601,0.00024706169175286004,13,1599.0,5,0.28561846043186595
🤢,0.0010541794846448387,8.129635469636756e-05,8.129635469636472e-05,9,1268.0,4,0.28561846043186595
🤌,0.0010461267866109817,0.00044718883587719906,0.0004471888358771989,13,1700.0,1,0.28561846043186595
👦,0.001029601438287655,5.77706892699633e-05,5.777068926996438e-05,10,1125.0,1,0.28561846043186595
❗,0.0010235957391794778,0.00011080008755893556,0.00011080008755893463,6,1260.0,0,0.28561846043186595
🌎,0.0010170488751183072,0.0003989583323451581,0.0003989583323451586,8,1330.0,4,0.28561846043186595
👄,0.001002972269924137,0.00029766571770428355,0.0002976657177042835,11,1127.0,5,0.28561846043186595
➡,0.0010026799600368393,0.00039308451661167855,0.0003930845166116773,9,1466.0,0,0.28561846043186595
⚽,0.0009991821602862304,0.0002691865058947945,0.0002691865058947943,8,1145.0,0,0.28561846043186595
🥀,0.0009959912145805262,0.0002910524780001604,0.0002910524780001611,10,1005.0,5,0.28561846043186595
🍭,0.000987029987873798,0.0010713051060692131,0.001071305106069211,8,1387.0,6,0.28561846043186595
🌱,0.000980576576531388,0.0012409831889366872,0.0012409831889366868,11,1587.0,6,0.28561846043186595
☠,0.000966524591599534,0.00013972099764621493,0.0001397209976462151,9,1156.0,4,0.28561846043186595
🎀,0.0009662907638212134,0.0008027495444275333,0.0008027495444275333,13,1379.0,5,0.28561846043186595
🎨,0.0009453024979800017,0.0009286431212960412,0.0009286431212960399,11,1390.0,6,0.28561846043186595
😕,0.000944733660029207,0.00010981851003349882,0.00010981851003349958,8,810.0,5,0.28561846043186595
😬,0.0009232192968820514,0.00014157806860944677,0.00014157806860944718,9,1110.0,4,0.28561846043186595
🤲,0.0009129609178057185,0.0004647660874941093,0.0004647660874941099,9,1242.0,1,0.28561846043186595
🗣,0.000912409708999775,0.0003067276038080342,0.0003067276038080354,6,1162.0,0,0.28561846043186595
🤏,0.0009081768227528052,0.0002049492883156493,0.00020494928831564868,9,1069.0,5,0.28561846043186595
😥,0.0009009823890629338,3.0167957129547644e-05,3.016795712954767e-05,6,680.0,4,0.28561846043186595
⏰,0.0008930614095377367,0.00025320640486871707,0.00025320640486871523,7,1065.0,0,0.28561846043186595
🐑,0.0008901166788621085,0.001233227325527907,0.001233227325527907,7,1276.0,6,0.28561846043186595
🤧,0.0008854880669470726,0.00021318649954209245,0.00021318649954209275,9,1047.0,4,0.28561846043186595
⚡,0.0008805556566990316,0.00029210738207616406,0.00029210738207616416,7,1036.0,0,0.28561846043186595
🍌,0.0008802949821683111,0.00019354459619590832,0.00019354459619590935,8,750.0,5,0.28561846043186595
🥴,0.0008779592467339634,0.00014800464101968834,0.0001480046410196887,8,984.0,4,0.28561846043186595
🔴,0.000877652942759138,6.59371149386001e-05,6.593711493859998e-05,4,760.0,0,0.28561846043186595
⛪,0.0008724087594544911,0.001146854341762819,0.0011468543417628187,7,1186.0,6,0.28561846043186595
✊,0.0008659783158868934,0.0003460686171476182,0.00034606861714761876,9,1038.0,1,0.28561846043186595
🤟,0.0008392053860865842,0.0004309438553665165,0.00043094385536651724,8,960.0,1,0.28561846043186595
🍑,0.0008329942662899226,0.0002792645921384097,0.00027926459213841023,7,812.0,5,0.28561846043186595
🍻,0.0008274907301459121,0.0004852863052503209,0.00048528630525032033,8,932.0,0,0.28561846043186595
😚,0.0008229138725782423,0.0003239781538566259,0.00032397815385662643,8,890.0,5,0.28561846043186595
🌊,0.000815335753139602,0.00033434379143954955,0.00033434379143955004,7,866.0,5,0.28561846043186595
🤎,0.00081467901024603,0.00021240009158689382,0.00021240009158689344,8,828.0,5,0.28561846043186595
⬇,0.0007991405539334738,0.0003242648491680497,0.00032426484916804783,7,753.0,0,0.28561846043186595
🐈,0.0007727596143055258,0.0006628861429848329,0.0006628861429848326,6,715.0,6,0.28561846043186595
