emojis,categories,category_rating,category_count,baseline_rating,total_count,rating_shift
©,Action,4.344827586206897,29,4.401459854014599,274,-0.05663226780770181
©,Comedy,4.230769230769231,26,4.401459854014599,274,-0.17069062324536777
©,Drama,4.473684210526316,38,4.401459854014599,274,0.07222435651171732
®,Action,4.78125,32,4.775,280,0.006249999999999645
®,Drama,4.785714285714286,28,4.775,280,0.010714285714285232
‼️,Drama,4.571428571428571,21,4.239130434782608,92,0.33229813664596275
☺,Action,4.916666666666667,24,4.853403141361256,191,0.0632635253054108
☺,Comedy,4.966666666666667,30,4.853403141361256,191,0.11326352530541062
☺,Drama,4.764705882352941,34,4.853403141361256,191,-0.08869725900831504
♥,Comedy,4.909090909090909,22,4.860869565217391,115,0.04822134387351795
♥,Drama,4.85,20,4.860869565217391,115,-0.010869565217391575
♥️,Drama,4.96969696969697,33,4.950413223140496,121,0.019283746556474135
❤,Action,5.0,40,4.920634920634921,441,0.07936507936507908
❤,Comedy,4.891566265060241,83,4.920634920634921,441,-0.029068655574679525
❤,Drama,4.959183673469388,98,4.920634920634921,441,0.03854875283446724
❤,Family,4.962962962962963,27,4.920634920634921,441,0.04232804232804188
❤,Sci-Fi,4.925925925925926,27,4.920634920634921,441,0.00529100529100468
❤,Thriller,4.909090909090909,22,4.920634920634921,441,-0.011544011544011745
❤️,Action,4.959595959595959,99,4.951091703056768,1145,0.008504256539191068
❤️,Animation,4.9772727272727275,44,4.951091703056768,1145,0.026181024215959248
❤️,Comedy,4.96969696969697,198,4.951091703056768,1145,0.018605266640201457
❤️,Documentary,4.888888888888889,27,4.951091703056768,1145,-0.062202814167878984
❤️,Drama,4.967078189300412,243,4.951091703056768,1145,0.015986486243643405
❤️,Family,4.9855072463768115,69,4.951091703056768,1145,0.03441554332004326
❤️,Fantasy,4.96078431372549,51,4.951091703056768,1145,0.009692610668722068
❤️,Horror,4.9,30,4.951091703056768,1145,-0.05109170305676791
❤️,Musical,4.848484848484849,33,4.951091703056768,1145,-0.10260685457191965
❤️,Romance,4.9523809523809526,42,4.951091703056768,1145,0.0012892493241842828
❤️,Sci-Fi,4.954545454545454,44,4.951091703056768,1145,0.0034537514886858744
❤️,Thriller,4.861111111111111,36,4.951091703056768,1145,-0.08998059194565755
⭐,Action,4.615384615384615,39,4.639118457300276,363,-0.023733841915660747
⭐,Comedy,4.744186046511628,43,4.639118457300276,363,0.10506758921135262
⭐,Drama,4.771428571428571,70,4.639118457300276,363,0.13231011412829563
⭐,Horror,4.7105263157894735,38,4.639118457300276,363,0.07140785848919773
⭐,Thriller,4.585365853658536,41,4.639118457300276,363,-0.053752603641739505
🌟,Action,4.392857142857143,28,4.679012345679013,162,-0.28615520282186946
🌟,Comedy,5.0,21,4.679012345679013,162,0.3209876543209873
🌟,Drama,4.809523809523809,42,4.679012345679013,162,0.13051146384479662
🍿,Action,4.872340425531915,47,4.816091954022989,348,0.0562484715089262
🍿,Comedy,4.787234042553192,47,4.816091954022989,348,-0.028857911469796882
🍿,Drama,4.796610169491525,59,4.816091954022989,348,-0.019481784531463653
🍿,Horror,4.809523809523809,42,4.816091954022989,348,-0.006568144499179418
🍿,Thriller,4.878787878787879,33,4.816091954022989,348,0.06269592476489017
🎄,Comedy,5.0,22,4.982758620689655,58,0.017241379310345195
🎥,Action,4.597560975609756,82,4.717607973421927,602,-0.12004699781217099
🎥,Comedy,4.774647887323944,71,4.717607973421927,602,0.05703991390201679
🎥,Drama,4.688172043010753,93,4.717607973421927,602,-0.029435930411174205
🎥,Family,5.0,26,4.717607973421927,602,0.28239202657807283
🎥,Horror,4.45,40,4.717607973421927,602,-0.267607973421927
🎥,Sci-Fi,4.735294117647059,34,4.717607973421927,602,0.017686144225131706
🎥,Thriller,4.53125,32,4.717607973421927,602,-0.18635797342192717
🎬,Action,4.761904761904762,21,4.817460317460317,126,-0.05555555555555536
